arm,size,seed,precision,conf,frozen,micro_f1,recall,count_mae_pct,net_bias_pct,provenance
base,320,0,int8,0.75,0,0.6343,0.4855,46.92,-46.92,nntool-sq8-ne16(unknown)
base,320,0,int8,0.8,0,0.4136,0.2644,72.13,-72.13,nntool-sq8-ne16(unknown)
base,320,0,int8,0.85,0,0.1024,0.054,94.44,-94.44,nntool-sq8-ne16(unknown)
base,320,0,int8,0.9,0,0.0068,0.0034,99.64,-99.64,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.05,0,0.38,0.9108,279.32,279.32,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.1,0,0.5196,0.8986,145.91,145.91,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.15,0,0.6024,0.8851,93.88,93.88,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.2,0,0.6619,0.8736,64.14,63.97,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.25,0,0.7037,0.865,46.08,45.84,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.3,0,0.7377,0.8544,31.9,31.62,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.35,0,0.7622,0.8424,22.14,21.04,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.4,1,0.7778,0.8213,14.92,11.18,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.45,0,0.7868,0.7976,10.36,2.74,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.5,0,0.7953,0.7724,10.79,-5.75,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.55,0,0.7893,0.7354,15.61,-13.65,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.6,0,0.775,0.6906,22.05,-21.78,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.65,0,0.7325,0.6141,32.31,-32.31,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.7,0,0.6454,0.4944,46.78,-46.78,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.75,0,0.4797,0.3207,66.3,-66.3,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.8,0,0.2208,0.1245,87.24,-87.24,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.85,0,0.0317,0.0161,98.39,-98.39,nntool-sq8-ne16(unknown)
base,320,0,fp32,0.9,0,0.0017,0.0009,99.91,-99.91,nntool-sq8-ne16(unknown)
base,320,0,int8,0.05,0,0.376,0.9103,284.19,284.19,nntool-sq8-ne16(unknown)
base,320,0,int8,0.1,0,0.5165,0.8957,146.89,146.82,nntool-sq8-ne16(unknown)
base,320,0,int8,0.15,0,0.6008,0.8841,94.44,94.31,nntool-sq8-ne16(unknown)
base,320,0,int8,0.2,0,0.661,0.8721,64.11,63.87,nntool-sq8-ne16(unknown)
